"","word","correct_word","neighbor1","neighbor2","neighbor3","neighbor4","neighbor5","neighbor6","neighbor7","neighbor8"
"95","congresslonal","TRUE","0","0","0","0","0","0","0","0"
"96","conslderatlon","FALSE","for","congresslonal","revlew","congresslonal","of","trade","reform","leglslatlon"
"97","of","TRUE","0","0","0","0","0","0","0","0"
"98","trade","TRUE","0","0","0","0","0","0","0","0"
"99","reform","TRUE","0","0","0","0","0","0","0","0"
"100","leglslatlon","TRUE","0","0","0","0","0","0","0","0"
"101","ahead","TRUE","0","0","0","0","0","0","0","0"
"102","of","TRUE","0","0","0","0","0","0","0","0"
"103","that","TRUE","0","0","0","0","0","0","0","0"
"104","he","TRUE","0","0","0","0","0","0","0","0"
"105","ould","FALSE","ahead","of","that","he","put","trade","leglslatlon","before"
"106","put","TRUE","0","0","0","0","0","0","0","0"
"107","trade","TRUE","0","0","0","0","0","0","0","0"
"108","leglslatlon","TRUE","0","0","0","0","0","0","0","0"
"109","before","TRUE","0","0","0","0","0","0","0","0"
"110","tax","TRUE","0","0","0","0","0","0","0","0"
"111","resom","FALSE","trade","leglslatlon","before","tax","ls","presldent","preslden","has"
"112","ls","FALSE","leglslatlon","before","tax","resom","presldent","preslden","has","not"
"113","presldent","TRUE","0","0","0","0","0","0","0","0"
"114","preslden","FALSE","tax","resom","ls","presldent","has","not","yet","made"
"115","has","TRUE","0","0","0","0","0","0","0","0"
"116","not","TRUE","0","0","0","0","0","0","0","0"
"117","yet","TRUE","0","0","0","0","0","0","0","0"
"118","made","TRUE","0","0","0","0","0","0","0","0"
"119","declslon","FALSE","has","not","yet","made","on","elther","the","nature"
"120","on","TRUE","0","0","0","0","0","0","0","0"
"121","elther","TRUE","0","0","0","0","0","0","0","0"
"122","the","TRUE","0","0","0","0","0","0","0","0"
"123","nature","TRUE","0","0","0","0","0","0","0","0"
"124","of","TRUE","0","0","0","0","0","0","0","0"
"125","trade","TRUE","0","0","0","0","0","0","0","0"
"126","lelslatlon","FALSE","the","nature","of","trade","be","proposed","by","the"
"127","be","TRUE","0","0","0","0","0","0","0","0"
"128","proposed","TRUE","0","0","0","0","0","0","0","0"
"129","by","TRUE","0","0","0","0","0","0","0","0"
"130","the","TRUE","0","0","0","0","0","0","0","0"
"131","admlnlstratlon","FALSE","be","proposed","by","the","or","on","the","tact"
"132","or","TRUE","0","0","0","0","0","0","0","0"
"133","on","TRUE","0","0","0","0","0","0","0","0"
"134","the","TRUE","0","0","0","0","0","0","0","0"
"135","tact","FALSE","admlnlstratlon","or","on","the","cal","lssue","of","when"
"136","cal","FALSE","or","on","the","tact","lssue","of","when","to"
"137","lssue","TRUE","0","0","0","0","0","0","0","0"
"138","of","TRUE","0","0","0","0","0","0","0","0"
"139","when","TRUE","0","0","0","0","0","0","0","0"
"140","to","TRUE","0","0","0","0","0","0","0","0"
"141","present","TRUE","0","0","0","0","0","0","0","0"
"142","under","TRUE","0","0","0","0","0","0","0","0"
"143","ne","FALSE","when","to","present","under","leadershlp","dutles","reasury","secretary"
"144","leadershlp","FALSE","to","present","under","ne","dutles","reasury","secretary","shultz"
"145","dutles","FALSE","present","under","ne","leadershlp","reasury","secretary","shultz","take"
"146","reasury","FALSE","under","ne","leadershlp","dutles","secretary","shultz","take","charge"
"147","secretary","TRUE","0","0","0","0","0","0","0","0"
"148","shultz","TRUE","0","0","0","0","0","0","0","0"
"149","take","TRUE","0","0","0","0","0","0","0","0"
"150","charge","TRUE","0","0","0","0","0","0","0","0"
"151","of","TRUE","0","0","0","0","0","0","0","0"
"152","overall","TRUE","0","0","0","0","0","0","0","0"
"153","economlc","TRUE","0","0","0","0","0","0","0","0"
"154","pollcy","TRUE","0","0","0","0","0","0","0","0"
"155","restore","TRUE","0","0","0","0","0","0","0","0"
"156","he","TRUE","0","0","0","0","0","0","0","0"
"157","department","TRUE","0","0","0","0","0","0","0","0"
"158","of","TRUE","0","0","0","0","0","0","0","0"
"159","state","TRUE","0","0","0","0","0","0","0","0"
"160","to","TRUE","0","0","0","0","0","0","0","0"
"161","some","TRUE","0","0","0","0","0","0","0","0"
"162","emlnence","TRUE","0","0","0","0","0","0","0","0"
"163","trade","TRUE","0","0","0","0","0","0","0","0"
"164","pollcy","TRUE","0","0","0","0","0","0","0","0"
"165","matters","TRUE","0","0","0","0","0","0","0","0"
"166","no","TRUE","0","0","0","0","0","0","0","0"
"167","chang","FALSE","trade","pollcy","matters","no","have","been","ndcated","so"
"168","have","TRUE","0","0","0","0","0","0","0","0"
"169","been","TRUE","0","0","0","0","0","0","0","0"
"170","ndcated","FALSE","no","chang","have","been","so","far","the","offlce"
"171","so","TRUE","0","0","0","0","0","0","0","0"
"172","far","TRUE","0","0","0","0","0","0","0","0"
"173","the","TRUE","0","0","0","0","0","0","0","0"
"174","offlce","FALSE","ndcated","so","far","the","of","the","speclal","rade"
"175","of","TRUE","0","0","0","0","0","0","0","0"
"176","the","TRUE","0","0","0","0","0","0","0","0"
"177","speclal","TRUE","0","0","0","0","0","0","0","0"
"178","rade","FALSE","offlce","of","the","speclal","representatlve","however","the","presldent"
"179","representatlve","FALSE","of","the","speclal","rade","however","the","presldent","has"
"180","however","TRUE","0","0","0","0","0","0","0","0"
"181","the","TRUE","0","0","0","0","0","0","0","0"
"182","presldent","TRUE","0","0","0","0","0","0","0","0"
"183","has","TRUE","0","0","0","0","0","0","0","0"
"184","accepted","TRUE","0","0","0","0","0","0","0","0"
"185","slgnatlons","FALSE","the","presldent","has","accepted","from","number","of","internatlonal"
"186","from","TRUE","0","0","0","0","0","0","0","0"
"187","number","TRUE","0","0","0","0","0","0","0","0"
"188","of","TRUE","0","0","0","0","0","0","0","0"
"189","internatlonal","TRUE","0","0","0","0","0","0","0","0"
"190","economlc","TRUE","0","0","0","0","0","0","0","0"
"191","pollcy","TRUE","0","0","0","0","0","0","0","0"
"192","cuncll","FALSE","of","internatlonal","economlc","pollcy","staff","memb","rs","presently"
"193","staff","TRUE","0","0","0","0","0","0","0","0"
"194","memb","TRUE","0","0","0","0","0","0","0","0"
"195","rs","TRUE","0","0","0","0","0","0","0","0"
"196","presently","TRUE","0","0","0","0","0","0","0","0"
"197","headed","TRUE","0","0","0","0","0","0","0","0"
"198","by","TRUE","0","0","0","0","0","0","0","0"
"199","peter","TRUE","0","0","0","0","0","0","0","0"
"200","flanlgan","TRUE","0","0","0","0","0","0","0","0"
"201","staff","TRUE","0","0","0","0","0","0","0","0"
"202","reort","FALSE","by","peter","flanlgan","staff","january","page","mca","and"
"203","january","TRUE","0","0","0","0","0","0","0","0"
"204","page","TRUE","0","0","0","0","0","0","0","0"
"205","mca","TRUE","0","0","0","0","0","0","0","0"
"206","and","TRUE","0","0","0","0","0","0","0","0"
"207","ther","FALSE","january","page","mca","and","ntervenors","wlth","the","interstate"
"208","ntervenors","FALSE","page","mca","and","ther","wlth","the","interstate","commerce"
"209","wlth","FALSE","mca","and","ther","ntervenors","the","interstate","commerce","commlsslon"
"210","the","TRUE","0","0","0","0","0","0","0","0"
"211","interstate","TRUE","0","0","0","0","0","0","0","0"
"212","commerce","TRUE","0","0","0","0","0","0","0","0"
"213","commlsslon","FALSE","wlth","the","interstate","commerce","reslst","udatlng","of","base"
"214","reslst","TRUE","0","0","0","0","0","0","0","0"
"215","udatlng","FALSE","interstate","commerce","commlsslon","reslst","of","base","classlflcatlon","values"
"216","of","TRUE","0","0","0","0","0","0","0","0"
"217","base","TRUE","0","0","0","0","0","0","0","0"
"218","classlflcatlon","FALSE","reslst","udatlng","of","base","values","bcv","attackln","the"
"219","values","TRUE","0","0","0","0","0","0","0","0"
"220","bcv","FALSE","of","base","classlflcatlon","values","attackln","the","baslc","system"
"221","attackln","FALSE","base","classlflcatlon","values","bcv","the","baslc","system","and"
"222","the","TRUE","0","0","0","0","0","0","0","0"
"223","baslc","TRUE","0","0","0","0","0","0","0","0"
"224","system","TRUE","0","0","0","0","0","0","0","0"
"225","and","TRUE","0","0","0","0","0","0","0","0"
"226","clalmlng","TRUE","0","0","0","0","0","0","0","0"
"227","that","TRUE","0","0","0","0","0","0","0","0"
"228","slngle","TRUE","0","0","0","0","0","0","0","0"
"229","crltlclzd","FALSE","and","clalmlng","that","slngle","our","proposal","to","ralse"
"230","our","TRUE","0","0","0","0","0","0","0","0"
"231","proposal","TRUE","0","0","0","0","0","0","0","0"
"232","to","TRUE","0","0","0","0","0","0","0","0"
"233","ralse","TRUE","0","0","0","0","0","0","0","0"
"234","the","TRUE","0","0","0","0","0","0","0","0"
"235","value","TRUE","0","0","0","0","0","0","0","0"
"236","ceiling","TRUE","0","0","0","0","0","0","0","0"
"237","to","TRUE","0","0","0","0","0","0","0","0"
"238","relate","TRUE","0","0","0","0","0","0","0","0"
"239","the","TRUE","0","0","0","0","0","0","0","0"
"240","package","TRUE","0","0","0","0","0","0","0","0"
"241","functlon","FALSE","to","relate","the","package","of","tank","car","and"
"242","of","TRUE","0","0","0","0","0","0","0","0"
"243","tank","TRUE","0","0","0","0","0","0","0","0"
"244","car","TRUE","0","0","0","0","0","0","0","0"
"245","and","TRUE","0","0","0","0","0","0","0","0"
"246","contlnu","FALSE","of","tank","car","and","legal","objectlons","iccs","power"
"247","legal","TRUE","0","0","0","0","0","0","0","0"
"248","objectlons","FALSE","car","and","contlnu","legal","iccs","power","to","prescrlbe"
"249","iccs","TRUE","0","0","0","0","0","0","0","0"
"250","power","TRUE","0","0","0","0","0","0","0","0"
"251","to","TRUE","0","0","0","0","0","0","0","0"
"252","prescrlbe","TRUE","0","0","0","0","0","0","0","0"
"253","speclfl","FALSE","iccs","power","to","prescrlbe","allowances","therefole","permlt","adequat"
"254","allowances","TRUE","0","0","0","0","0","0","0","0"
"255","therefole","FALSE","to","prescrlbe","speclfl","allowances","permlt","adequat","evaluatlon","and"
"256","permlt","FALSE","prescrlbe","speclfl","allowances","therefole","adequat","evaluatlon","and","response"
"257","adequat","FALSE","speclfl","allowances","therefole","permlt","evaluatlon","and","response","addltlonal"
"258","evaluatlon","TRUE","0","0","0","0","0","0","0","0"
"259","and","TRUE","0","0","0","0","0","0","0","0"
"260","response","TRUE","0","0","0","0","0","0","0","0"
"261","addltlonal","TRUE","0","0","0","0","0","0","0","0"
"262","time","TRUE","0","0","0","0","0","0","0","0"
"263","to","TRUE","0","0","0","0","0","0","0","0"
"264","comment","TRUE","0","0","0","0","0","0","0","0"
"265","was","TRUE","0","0","0","0","0","0","0","0"
"266","requestd","FALSE","time","to","comment","was","our","behalf","and","that"
"267","our","TRUE","0","0","0","0","0","0","0","0"
"268","behalf","TRUE","0","0","0","0","0","0","0","0"
"269","and","TRUE","0","0","0","0","0","0","0","0"
"270","that","TRUE","0","0","0","0","0","0","0","0"
"271","of","TRUE","0","0","0","0","0","0","0","0"
"272","the","TRUE","0","0","0","0","0","0","0","0"
"273","amerlcan","TRUE","0","0","0","0","0","0","0","0"
"274","petroleum","TRUE","0","0","0","0","0","0","0","0"
"275","instltue","FALSE","of","the","amerlcan","petroleum","car","mm","companles","and"
"276","car","TRUE","0","0","0","0","0","0","0","0"
"277","mm","FALSE","amerlcan","petroleum","instltue","car","companles","and","other","supporters"
"278","companles","TRUE","0","0","0","0","0","0","0","0"
"279","and","TRUE","0","0","0","0","0","0","0","0"
"280","other","TRUE","0","0","0","0","0","0","0","0"
"281","supporters","TRUE","0","0","0","0","0","0","0","0"
"282","four","TRUE","0","0","0","0","0","0","0","0"
"283","weeks","TRUE","0","0","0","0","0","0","0","0"
"284","wre","FALSE","other","supporters","four","weeks","granted","reply","statements","are"
"285","granted","TRUE","0","0","0","0","0","0","0","0"
"286","reply","TRUE","0","0","0","0","0","0","0","0"
"287","statements","TRUE","0","0","0","0","0","0","0","0"
"288","are","TRUE","0","0","0","0","0","0","0","0"
"289","now","TRUE","0","0","0","0","0","0","0","0"
"290","due","TRUE","0","0","0","0","0","0","0","0"
"291","january","TRUE","0","0","0","0","0","0","0","0"
"292","and","TRUE","0","0","0","0","0","0","0","0"
"293","ea","FALSE","now","due","january","and","th","conductlng","natlonal","dccupatlonal"
"294","th","FALSE","due","january","and","ea","conductlng","natlonal","dccupatlonal","hazard"
"295","conductlng","TRUE","0","0","0","0","0","0","0","0"
"296","natlonal","FALSE","and","ea","th","conductlng","dccupatlonal","hazard","survey","statltlcal"
"297","dccupatlonal","FALSE","ea","th","conductlng","natlonal","hazard","survey","statltlcal","study"
"298","hazard","TRUE","0","0","0","0","0","0","0","0"
"299","survey","TRUE","0","0","0","0","0","0","0","0"
"300","statltlcal","FALSE","natlonal","dccupatlonal","hazard","survey","study","deslgned","to","collect"
"301","study","TRUE","0","0","0","0","0","0","0","0"
"302","deslgned","FALSE","hazard","survey","statltlcal","study","to","collect","pertlnent","nformatlon"
"303","to","TRUE","0","0","0","0","0","0","0","0"
"304","collect","TRUE","0","0","0","0","0","0","0","0"
"305","pertlnent","TRUE","0","0","0","0","0","0","0","0"
"306","nformatlon","FALSE","deslgned","to","collect","pertlnent","trlal","wmrkers","accompanled","by"
"307","trlal","TRUE","0","0","0","0","0","0","0","0"
"308","wmrkers","FALSE","collect","pertlnent","nformatlon","trlal","accompanled","by","management","representatlves"
"309","accompanled","FALSE","pertlnent","nformatlon","trlal","wmrkers","by","management","representatlves","nidsh"
"310","by","TRUE","0","0","0","0","0","0","0","0"
"311","management","TRUE","0","0","0","0","0","0","0","0"
"312","representatlves","FALSE","wmrkers","accompanled","by","management","nidsh","seventy","elva","percent"
"313","nidsh","FALSE","accompanled","by","management","representatlves","seventy","elva","percent","of"
"314","seventy","FALSE","by","management","representatlves","nidsh","elva","percent","of","the"
"315","elva","FALSE","management","representatlves","nidsh","seventy","percent","of","the","data"
"316","percent","TRUE","0","0","0","0","0","0","0","0"
"317","of","TRUE","0","0","0","0","0","0","0","0"
"318","the","TRUE","0","0","0","0","0","0","0","0"
"319","data","TRUE","0","0","0","0","0","0","0","0"
"320","collected","TRUE","0","0","0","0","0","0","0","0"
"321","reported","TRUE","0","0","0","0","0","0","0","0"
"322","as","TRUE","0","0","0","0","0","0","0","0"
"323","exposurs","FALSE","data","collected","reported","as","to","trade","name","compounds"
"324","to","TRUE","0","0","0","0","0","0","0","0"
"325","trade","TRUE","0","0","0","0","0","0","0","0"
"326","name","TRUE","0","0","0","0","0","0","0","0"
"327","compounds","TRUE","0","0","0","0","0","0","0","0"
"328","however","TRUE","0","0","0","0","0","0","0","0"
"329","the","TRUE","0","0","0","0","0","0","0","0"
"330","instltutes","FALSE","name","compounds","however","the","lngredlnt","nfomatlon","for","each"
"331","lngredlnt","FALSE","compounds","however","the","instltutes","nfomatlon","for","each","trade"
"332","nfomatlon","FALSE","however","the","instltutes","lngredlnt","for","each","trade","name"
"333","for","TRUE","0","0","0","0","0","0","0","0"
"334","each","TRUE","0","0","0","0","0","0","0","0"
"335","trade","TRUE","0","0","0","0","0","0","0","0"
"336","name","TRUE","0","0","0","0","0","0","0","0"
"337","ltem","FALSE","for","each","trade","name","reported","to","them","to"
"338","reported","TRUE","0","0","0","0","0","0","0","0"
"339","to","TRUE","0","0","0","0","0","0","0","0"
"340","them","TRUE","0","0","0","0","0","0","0","0"
"341","to","TRUE","0","0","0","0","0","0","0","0"
"342","obtan","FALSE","reported","to","them","to","thls","nfomatlon","they","propose"
"343","thls","FALSE","to","them","to","obtan","nfomatlon","they","propose","to"
"344","nfomatlon","FALSE","them","to","obtan","thls","they","propose","to","send"
"345","they","TRUE","0","0","0","0","0","0","0","0"
"346","propose","TRUE","0","0","0","0","0","0","0","0"
"347","to","TRUE","0","0","0","0","0","0","0","0"
"348","send","TRUE","0","0","0","0","0","0","0","0"
"349","letter","TRUE","0","0","0","0","0","0","0","0"
"350","and","TRUE","0","0","0","0","0","0","0","0"
"351","equest","FALSE","to","send","letter","and","com","one","for","each"
"352","com","TRUE","0","0","0","0","0","0","0","0"
"353","one","TRUE","0","0","0","0","0","0","0","0"
"354","for","TRUE","0","0","0","0","0","0","0","0"
"355","each","TRUE","0","0","0","0","0","0","0","0"
"356","trade","TRUE","0","0","0","0","0","0","0","0"
"357","name","TRUE","0","0","0","0","0","0","0","0"
"358","product","TRUE","0","0","0","0","0","0","0","0"
"359","to","TRUE","0","0","0","0","0","0","0","0"
"360","about","TRUE","0","0","0","0","0","0","0","0"
"361","respons","TRUE","0","0","0","0","0","0","0","0"
"362","would","TRUE","0","0","0","0","0","0","0","0"
"363","be","TRUE","0","0","0","0","0","0","0","0"
"364","mandatory","TRUE","0","0","0","0","0","0","0","0"
"365","under","TRUE","0","0","0","0","0","0","0","0"
"366","offlce","FALSE","would","be","mandatory","under","of","management","and","budget"
"367","of","TRUE","0","0","0","0","0","0","0","0"
"368","management","TRUE","0","0","0","0","0","0","0","0"
"369","and","TRUE","0","0","0","0","0","0","0","0"
"370","budget","TRUE","0","0","0","0","0","0","0","0"
"371","belng","FALSE","of","management","and","budget","arranged","vlews","egardlng","the"
"372","arranged","TRUE","0","0","0","0","0","0","0","0"
"373","vlews","FALSE","and","budget","belng","arranged","egardlng","the","need","for"
"374","egardlng","FALSE","budget","belng","arranged","vlews","the","need","for","assurances"
"375","the","TRUE","0","0","0","0","0","0","0","0"
"376","need","TRUE","0","0","0","0","0","0","0","0"
"377","for","TRUE","0","0","0","0","0","0","0","0"
"378","assurances","TRUE","0","0","0","0","0","0","0","0"
"379","of","TRUE","0","0","0","0","0","0","0","0"
"380","confldentlallty","FALSE","need","for","assurances","of","beyond","those","already","expressed"
"381","beyond","TRUE","0","0","0","0","0","0","0","0"
"382","those","TRUE","0","0","0","0","0","0","0","0"
"383","already","TRUE","0","0","0","0","0","0","0","0"
"384","expressed","TRUE","0","0","0","0","0","0","0","0"
"385","the","TRUE","0","0","0","0","0","0","0","0"
"386","dccupatlonal","FALSE","those","already","expressed","the","safety","and","health","act"
"387","safety","TRUE","0","0","0","0","0","0","0","0"
"388","and","TRUE","0","0","0","0","0","0","0","0"
"389","health","TRUE","0","0","0","0","0","0","0","0"
"390","act","TRUE","0","0","0","0","0","0","0","0"
"391","staff","TRUE","0","0","0","0","0","0","0","0"
"392","eport","FALSE","and","health","act","staff","januar","page","geneva","of"
"393","januar","FALSE","health","act","staff","eport","page","geneva","of","the"
"394","page","TRUE","0","0","0","0","0","0","0","0"
"395","geneva","TRUE","0","0","0","0","0","0","0","0"
"396","of","TRUE","0","0","0","0","0","0","0","0"
"397","the","TRUE","0","0","0","0","0","0","0","0"
"398","unlted","FALSE","page","geneva","of","the","natlonsl","commlttee","of","experts"
"399","natlonsl","FALSE","geneva","of","the","unlted","commlttee","of","experts","on"
"400","commlttee","TRUE","0","0","0","0","0","0","0","0"
"401","of","TRUE","0","0","0","0","0","0","0","0"
"402","experts","TRUE","0","0","0","0","0","0","0","0"
"403","on","TRUE","0","0","0","0","0","0","0","0"
"404","the","TRUE","0","0","0","0","0","0","0","0"
"405","trans","TRUE","0","0","0","0","0","0","0","0"
"406","dr","TRUE","0","0","0","0","0","0","0","0"
"407","boyd","TRUE","0","0","0","0","0","0","0","0"
"408","shaffer","TRUE","0","0","0","0","0","0","0","0"
"409","dlrector","FALSE","trans","dr","boyd","shaffer","of","toxlcclogy","amerlcan","cyanamld"
"410","of","TRUE","0","0","0","0","0","0","0","0"
"411","toxlcclogy","TRUE","0","0","0","0","0","0","0","0"
"412","amerlcan","TRUE","0","0","0","0","0","0","0","0"
"413","cyanamld","FALSE","dlrector","of","toxlcclogy","amerlcan","compan","actlon","taken","at"
"414","compan","FALSE","of","toxlcclogy","amerlcan","cyanamld","actlon","taken","at","thls"
"415","actlon","FALSE","toxlcclogy","amerlcan","cyanamld","compan","taken","at","thls","meetlng"
"416","taken","TRUE","0","0","0","0","0","0","0","0"
"417","at","TRUE","0","0","0","0","0","0","0","0"
"418","thls","FALSE","compan","actlon","taken","at","meetlng","result","publlcatlon","the"
"419","meetlng","FALSE","actlon","taken","at","thls","result","publlcatlon","the","alcatlon"
"420","result","TRUE","0","0","0","0","0","0","0","0"
"421","publlcatlon","TRUE","0","0","0","0","0","0","0","0"
"422","the","TRUE","0","0","0","0","0","0","0","0"
"423","alcatlon","FALSE","meetlng","result","publlcatlon","the","packaglng","and","labellng","of"
"424","packaglng","FALSE","result","publlcatlon","the","alcatlon","and","labellng","of","hazardous"
"425","and","TRUE","0","0","0","0","0","0","0","0"
"426","labellng","TRUE","0","0","0","0","0","0","0","0"
"427","of","TRUE","0","0","0","0","0","0","0","0"
"428","hazardous","TRUE","0","0","0","0","0","0","0","0"
"429","materls","FALSE","and","labellng","of","hazardous","nternatlonal","trade","the","asdciatidnhas"
"430","nternatlonal","FALSE","labellng","of","hazardous","materls","trade","the","asdciatidnhas","offered"
"431","trade","TRUE","0","0","0","0","0","0","0","0"
"432","the","TRUE","0","0","0","0","0","0","0","0"
"433","asdciatidnhas","FALSE","materls","nternatlonal","trade","the","offered","recommendatlons","the","envlrnmental"
"434","offered","TRUE","0","0","0","0","0","0","0","0"
"435","recommendatlons","FALSE","trade","the","asdciatidnhas","offered","the","envlrnmental","protectlon","agency"
"436","the","TRUE","0","0","0","0","0","0","0","0"
"437","envlrnmental","FALSE","asdciatidnhas","offered","recommendatlons","the","protectlon","agency","mm","on"
"438","protectlon","TRUE","0","0","0","0","0","0","0","0"
"439","agency","TRUE","0","0","0","0","0","0","0","0"
"440","mm","FALSE","the","envlrnmental","protectlon","agency","on","the","professlonal","quallucatlons"
"441","on","TRUE","0","0","0","0","0","0","0","0"
"442","the","TRUE","0","0","0","0","0","0","0","0"
"443","professlonal","FALSE","agency","mm","on","the","quallucatlons","deemed","necessary","to"
"444","quallucatlons","FALSE","mm","on","the","professlonal","deemed","necessary","to","membershlp"
"445","deemed","TRUE","0","0","0","0","0","0","0","0"
"446","necessary","TRUE","0","0","0","0","0","0","0","0"
"447","to","TRUE","0","0","0","0","0","0","0","0"
