Correction,GroundTruth,ORC
leglslatlve,legislative,leglslatlve
contacts,contacts,contacts
to,to,to
the,the,the
disruptive,disruptive,disruptive
and,and,and
effects,effects,effects
of,of,of
this,this,thls
measure,measure,measure
suggestlng,suggesting,suggestlng
that,that,that
affected,affected,affected
companles,companies,companles
their,their,thelr
oppositionparticularly,oppositionparticularly,opposumnparmcularly
to,to,to
members,members,members
of,of,of
the,the,the
senate,senate,senate
dperatlons,operations,dperatlons
commlttee,committee,commlttee
up,up,up
this,this,thls
cma,bill,mu
within,within,within
the,the,the
next,next,next
three,three,three
or,or,or
four,four,four
weeks,weeks,weeks
own,oversight,ownsmm
hearings,hearings,hearings
on,on,on
implementation,implementation,luvplementatlon
of,of,of
the,the,the
clean,clean,clean
air,air,alr
act,act,act
amendments,amendments,amendments
of,of,of
were,were,were
held,held,held
recently,recently,recently
on,on,on
january,january,january
by,by,by
representative,representative,representatlve
paul,paul,paul
g,g,g
rogers,rogers,rogers
office,dfla,mfflaj
of,of,of
the,the,the
house,house,house
commlttee,committee,commlttee
on,on,on
interstate,interstate,interstate
and,and,and
forelgn,foreign,forelgn
commerce,commerce,commerce
and,and,and
on,on,on
february,february,february
by,by,by
senator,senator,senator
thomas,thomas,thomas
f,f,f
eagleton,eagleton,eagleton
dmo,dmo,dmd
of,of,of
the,the,the
senate,senate,senate
commlttee,committee,commlttee
on,on,on
public,public,publlc
works,works,works
particular,particular,partlcular
concern,concern,concern
was,was,was
expressed,expressed,expressed
by,by,by
democratic,democratic,democratlc
members,members,members
of,of,of
the,the,the
congress,congress,congress
that,that,that
the,the,the
offlce,office,offlce
of,of,of
management,management,management
and,and,and
budget,budget,budget
omb,mb,mm
was,was,was
inter,inter,nteri
ceiling,ceding,cedlng
n,in,n
environmental,environmental,envlronmental
protectlon,protection,protectlon
agency,agency,agency
epa,epa,pm
affalrs,affairs,affalrs
contrary,contrary,contrary
to,to,to
the,the,the
intent,intent,ntent
of,of,of
the,the,the
congress,congress,congress
perslstently,persistently,perslstently
attacked,attacked,attacked
was,was,was
epas,epas,epas
delay,delay,delay
n,in,n
cma,issuing,mm
state,state,state
requirements,requirements,requlrements
for,for,for
preparatlon,preparation,preparatlon
adoptlon,adoption,adoptlon
and,and,and
submlttal,submittal,submlttal
of,of,of
implementation,implementation,implementatlon
plans,plans,plans
epas,epas,epas
administrator,administrator,admlnlstrator
mr,mr,mr
ruckelshaus,ruckelshaus,ruckelshaus
had,had,had
delayed,delayed,delayed
their,their,thelr
publlcatlon,publication,publlcatlon
n,in,n
order,order,order
to,to,to
revise,revise,revlse
them,them,them
he,he,he
deleted,deleted,deleted
implications,implications,mpllcatlons
that,that,that
approval,approval,approval
of,of,of
state,state,state
plans,plans,plans
would,would,would
depend,depend,depend
on,on,on
ncluslon,inclusion,ncluslon
of,of,of
specified,specified,speclfled
regulatory,regulatory,regulatory
provisions,provisions,provlslons
and,and,and
clearly,clearly,clearly
identified,identified,identified
them,them,them
as,as,as
possible,possible,posslble
state,state,state
optlons,options,optlons
thus,thus,thus
allowing,allowing,allowlng
for,for,for
alter,alter,alter
native,native,natlve
control,control,control
strategles,strategies,strategles
democrats,democrats,democrats
and,and,and
environmentalists,environmentalists,envlronmentallsts
alleged,alleged,alleged
this,this,thls
change,change,change
was,was,was
the,the,the
result,result,result
of,of,of
polltlcal,political,polltlcal
pressures,pressures,pressures
applled,applied,applled
through,through,through
mca,mb,ms
however,however,however
mr,mr,mr
ruckelshaus,ruckelshaus,ruckelshaus
defended,defended,defended
the,the,the
legal,legal,legal
and,and,and
technologlcal,technological,technologlcal
soundness,soundness,soundness
of,of,of
his,his,ms
actlons,actions,actlons
as,as,as
indicated,indicated,indicated
in,in,in
the,the,the
february,february,february
report,report,report
written,written,wrtten
testlmony,testimony,testlmony
developed,developed,developed
by,by,by
our,our,our
internatlonal,international,internatlonal
trade,trade,trade
commlttee,committee,commlttee
has,has,has
been,been,been
presented,presented,presented
to,to,to
the,the,the
senate,senate,senate
subcommlttee,subcommittee,subcommlttee
on,on,on
forelgn,foreign,forelgn
commerce,commerce,commerce
and,and,and
tourlsm,tourism,tourlsm
n,in,n
connectlon,connection,connectlon
with,with,hlth
their,their,thelr
hearlngs,hearings,hearlngs
on,on,on
s,s,s
the,the,the
export,export,export
expanslon,expansion,expanslon
act,act,act
of,of,of
by,by,by
letter,letter,letter
on,on,on
february,february,february
to,to,to
the,the,the
commlttees,committees,commlttees
chairman,chairman,chalrman
senator,senator,senator
daniel,daniel,danlel
k,k,k
inouye,inouye,inouye
minimum,dhi,minim
we,we,we
reiterated,reiterated,relterated
our,our,our
posltlon,position,posltlon
on,on,on
upgradlng,upgrading,upgradlng
commerclal,commercial,commerclal
attaches,attaches,attaches
sig,using,vsmg
industry,industry,ndustry
advlsors,advisors,advlsors
during,during,durlng
trade,trade,trade
negotiations,negotiations,negotlatlons
strengthenlng,strengthening,strengthenlng
exportimport,exportimport,exportilmport
bank,bank,bank
operatlons,operations,operatlons
easing,easing,easlng
restralnts,restraints,restralnts
on,on,on
bank,bank,bank
export,export,export
financing,financing,flnanclng
ending,ending,endlng
freight,freight,freight
rate,rate,rate
dlsparltles,disparities,dlsparltles
permlttlng,permitting,permlttlng
more,more,more
activities,activities,actlvltles
n,in,n
forelgn,foreign,forelgn
trade,trade,trade
zones,zones,zones
easing,easing,easlng
access,access,access
to,to,to
drawback,drawback,drawback
opportunities,opportunities,opportunltles
ending,ending,endlng
forelgn,foreign,forelgn
that,direct,threat
investment,investment,nvestment
controls,controls,controls
and,and,and
on,on,on
qualifying,qualifying,quallfylng
all,all,all
export,export,export
earnlngs,earnings,earnlngs
for,for,for
use,disc,ursc
operatlons,operations,operatlons
cma,cma,cmad
 , , 
two,two,two
specific,specific,speclflc
recommendations,recommendations,recommendatlons
were,were,were
to,to,to
requlre,require,requlre
by,by,by
law,law,law
government,government,government
use,use,use
of,of,of
business,business,busmess
advlsors,advisors,advlsors
n,in,n
nternatlonal,international,nternatlonal
trade,trade,trade
negotiations,negotiations,negotlatlons
subsidize,subsidize,subsldlze
dlrectly,directly,dlrectly
rather,rather,rather
than,than,than
ndrectly,indirectly,ndrectly
operatlon,operation,operatlon
rate,rate,rate
disparities,disparities,disparities
were,were,were
the,the,the
toplc,topic,toplc
at,at,at
a,a,a
meetlng,meeting,meetlng
on,on,on
february,february,february
at,at,at
mca,mca,mca
headquarters,headquarters,headquarters
discussion,discussion,dlscusslon
centered,centered,centered
on,on,on
reported,reported,reported
findings,findings,findings
of,of,of
medlcal,medical,medlcal
researchers,researchers,researchers
con,con,coni
cernlng,cerning,cernlng
phthalate,phthalate,phthalate
extraction,extraction,extractlon
by,by,by
blood,blood,blood
when,when,when
stored,stored,stored
n,in,n
bags,bags,bags
made,made,made
of,of,of
phthalateplasticized,phthalateplasticized,phthalatejolastlclzed
polyvlnyl,polyvinyl,polyvlnyl
chlorlde,chloride,chlorlde
m,film,m
and,and,and
observances,observances,observances
of,of,of
birth,birth,blrth
defects,defects,defects
n,in,n
rats,rats,rats
when,when,when
injected,injected,njected
cma,with,mm
types,types,types
of,of,of
phthalate,phthalate,phthalate
esters,esters,esters
used,used,used
as,as,as
plastlclzers,plasticizers,plastlclzers
n,in,n
plastlcs,plastics,plastlcs
particularly,particularly,partlcularly
polyvlnyl,polyvinyl,polyvlnyl
chlorlde,chloride,chlorlde
fortyfive,fortyfive,fortyiflve
representatives,representatives,representatlves
of,of,of
companles,companies,companles
attended,attended,attended
they,they,they
wish,wish,wlsh
to,to,to
conslder,consider,conslder
the,the,the
development,development,development
of,of,of
a,a,a
technlcal,technical,technlcal
program,program,program
and,and,and
eight,eight,eight
com,com,com
panles,panies,panles
volunteered,volunteered,volunteered
representatives,representatives,representatlves
as,as,as
an,an,an
ad,ad,ad
hoc,hoc,hoc
plannlng,planning,plannlng
group,group,group
on,on,on
involving,involving,nvolvng
mca,mca,mca
administration,administration,admlnlstratlon
would,would,would
requlre,require,requlre
your,your,your
approval,approval,approval
the,the,the
association,association,association
malntaln,maintain,malntaln
a,a,a
reglstry,registry,reglstry
of,of,of
cases,cases,cases
of,of,of
acroosteolysis,acroosteolysis,acroosteolysls
fingertip,fingertip,flngertlp
bone,bone,bone
resins,lesions,lesmnsy
and,and,and
to,to,to
provlde,provide,provlde
a,a,a
consultatlon,consultation,consultatlon
center,center,center
for,for,for
industry,industry,ndustry
 , , 
funded,funded,funded
by,by,by
contributions,contributions,contrlbutlons
from,from,from
polyvlnyl,polyvinyl,polyvlnyl
chlorlde,chloride,chlorlde
manufacturers,manufacturers,manufacturers
the,the,the
extenslon,extension,extenslon
contlnues,continues,contlnues
a,a,a
program,program,program
which,which,whlch
began,began,began
with,with,hlth
an,an,an
extenslve,extensive,extenslve
cma,in,mi
vestlgatlon,vestigation,vestlgatlon
of,of,of
the,the,the
cllnlcal,clinical,cllnlcal
epidemiological,epidemiological,epldemlologlcal
and,and,and
ndustrlal,industrial,ndustrlal
hygiene,hygiene,hyglene
aspects,aspects,aspects
of,of,of
this,this,thls
syndrome,syndrome,syndrome
among,among,among
polyvlnyl,polyvinyl,polyvlnyl
chlorlde,chloride,chlorlde
productlon,production,productlon
workers,workers,workers
as,as,as
a,a,a
pollutionprevention,pollutionprevention,pollutlonipreventlon
measure,measure,measure
has,has,has
proposed,proposed,proposed
regulatlons,regulations,regulatlons
concernlng,concerning,concernlng
the,the,the
design,design,deslgn
and,and,and
constructlon,construction,constructlon
of,of,of
vessels,vessels,vessels
and,and,and
the,the,the
operatlon,operation,operatlon
of,of,of
temlnal,terminal,temlnal
facllltles,facilities,facllltles
n,in,n
oll,oil,oll
transfer,transfer,transfer
operatlons,operations,operatlons
in,in,in
general,general,general
member,member,member
companles,companies,companles
have,have,have
no,no,no
objection,objection,objectlon
m,to,m
the,the,the
proposal,proposal,proposal
for,for,for
approprlate,appropriate,approprlate
review,review,revlew
preserve,preserve,preserve
uniformity,uniformity,unlfomlty
with,with,hlth
present,present,present
regulatlons,regulations,regulatlons
and,and,and
clarlfy,clarify,clarlfy
intent,intent,ntent
of,of,of
some,some,some
of,of,of
the,the,the
proposals,proposals,proposals
our,our,our
comments,comments,comments
were,were,were
sub,sub,sub
mltted,mitted,mltted
m,to,m
the,the,the
coast,coast,coast
guard,guard,guard
on,on,on
february,february,february
the,the,the
interstate,interstate,interstate
cma,commerce,comma
commission,commission,commission
cma,cma,cm
scheduled,scheduled,scheduled
a,a,a
modified,modified,modlfled
procedure,procedure,procedure
n,in,n
response,response,response
to,to,to
our,our,our
complalnt,complaint,complalnt
concernlng,concerning,concernlng
deficiencies,deficiencies,deflclencles
n,in,n
the,the,the
tank,tank,tank
car,car,car
mlleage,mileage,mlleage
allowance,allowance,allowance
system,system,system
adopted,adopted,adopted
by,by,by
rallroads,railroads,rallroads
requestlng,requesting,requestlng
wrltten,written,wrltten
comment,comment,comment
by,by,by
february,february,february
however,however,however
that,that,that
date,date,date
did,did,dld
not,not,not
allow,allow,allow
us,us,us
sufficient,sufficient,sufflclent
june,time,tune
and,and,and
our,our,our
request,request,request
for,for,for
a,a,a
day,day,bniday
extenslon,extension,extenslon
was,was,was
granted,granted,granted
we,we,we
may,may,may
ultlmately,ultimately,ultlmately
request,request,request
sure,sure,sure
a,a,a
complete,complete,complete
record,record,record
t,t,t
 , , 
chemecology,chemecology,chemecology
issue,issue,lssue
this,this,thls
month,month,month
publlcatlons,publications,publlcatlons
last,last,last
december,december,december
by,by,by
james,james,james
p,p,p
turner,turner,turner
manager,manager,manager
of,of,of
environmental,environmental,envlronmental
quallty,quality,quallty
infomatlon,information,infomatlon
educational,educational,educational
activities,activities,activities
by,by,by
the,the,the
assoclatlon,association,assoclatlon
are,are,are
ncreaslng,increasing,ncreaslng
include,include,nclude
recent,recent,recent
and,and,and
future,future,future
projects,projects,projects
educatlonal,educational,educatlonal
projects,projects,projects
and,and,and
materlals,materials,materlals
the,the,the
initial,initial,initial
distribution,distribution,dlstrlbutlon
of,of,of
over,over,over
drew,drew,drew
excellent,excellent,excellent
educator,educator,educator
response,response,response
two,two,two
new,new,new
booklets,booklets,booklets
are,are,are
upcomlng,upcoming,upcomlng
a,a,a
career,career,career
guldance,guidance,guldance
booklet,booklet,booklet
a,a,a
challenge,challenge,challenge
for,for,for
growth,growth,growth
will,will,will
replace,replace,replace
careers,careers,careers
ahead,ahead,ahead
in,in,in
the,the,the
chemlcal,chemical,chemlcal
tributed,tributed,trlbuted
n,in,n
experimental,experimental,experlmental
form,form,form
prior,prior,prior
to,to,to
publlcatlon,publication,publlcatlon
authored,authored,authored
by,by,by
schools,schools,schools
the,the,the
assoclatlons,associations,assoclatlons
comblned,combined,comblned
educationconsumer,educationconsumer,educatloniconsumer
information,information,informatlon
exhibit,exhibit,exhlblt
ellclted,elicited,ellclted
substantlal,substantial,substantlal
nterest,interest,nterest
and,and,and
discussion,discussion,dlscusslon
at,at,at
the,the,the
annual,annual,annual
conven,conven,conveni
tion,tion,tlon
of,of,of
the,the,the
amerlcan,american,amerlcan
assoclatlon,association,assoclatlon
of,of,of
school,school,school
administrators,administrators,admlnlstrators
n,in,n
atlantlc,atlantic,atlantlc
city,city,clty
february,february,february
the,the,the
same,same,same
exhibit,exhibit,exhibit
will,will,will
be,be,be
on,on,on
display,display,dlsplay
march,march,march
n,in,n
phlladelphla,philadelphia,phlladelphla
at,at,at
the,the,the
annual,annual,annual
convention,convention,conventlon
of,of,of
the,the,the
assoclatlon,association,assoclatlon
for,for,for
supervlslon,supervision,supervlslon
and,and,and
curriculum,curriculum,currlculum
development,development,development
and,and,and
at,at,at
the,the,the
annual,annual,annual
convention,convention,conventlon
of,of,of
the,the,the
natlonal,national,natlonal
sclence,science,sclence
teachers,teachers,teachers
assoclatlon,association,assoclatlon
n,in,n
new,new,new
york,york,york
city,city,clty
aprll,april,aprll
sponsored,sponsored,sponsored
by,by,by
the,the,the
assoclatlon,association,assoclatlon
and,and,and
the,the,the
amerlcan,american,amerlcan
chemlcal,chemical,chemlcal
soclety,society,soclety
on,on,on
aprll,april,aprll
and,and,and
during,during,durlng
the,the,the
latters,latters,latters
annual,annual,annual
convention,convention,conventlon
n,in,n
boston,boston,boston
one,one,one
under,under,under
the,the,the
dlvlslon,division,dlvlslon
of,of,of
chemlcal,chemical,chemlcal
educatlan,education,educatlan
inc,inc,inc
will,will,will
feature,feature,feature
a,a,a
decision,discussion,dlscusslon
on,on,on
contlnulng,continuing,contlnulng
educatlon,education,educatlon
the,the,the
other,other,other
under,under,under
the,the,the
dlvlslon,division,dlvlslon
of,of,of
industrlal,industrial,industrlal
and,and,and
englneerlng,engineering,englneerlng
chemlstry,chemistry,chemlstry
will,will,will
be,be,be
devoted,devoted,devoted
to,to,to
indus,indus,indus
trialacademic,trialacademic,trlaliacademlc
cooperatlon,cooperation,cooperatlon
n,in,n
the,the,the
seventles,seventies,seventles
on,on,on
aprll,april,aprll
the,the,the
day,day,day
before,before,before
a,a,a
scheduled,scheduled,scheduled
educatlon,education,educatlon
activities,activities,actlvltles
commlttee,committee,commlttee
cma,eac,mm
meetlng,meeting,meetlng
eac,eac,eac
members,members,members
will,will,will
partlclpate,participate,partlclpate
n,in,n
an,an,an
interi,inter,interi
face,face,face
conference,conference,conference
cma,with,mm
the,the,the
ecis,ecis,ecis
group,group,group
of,of,of
students,students,students
at,at,at
the,the,the
massachusetts,massachusetts,massachusetts
instltute,institute,instltute
of,of,of
technology,technology,technology
efficient,efficient,efficient
communlcatlon,communication,communlcatlon
through,through,through
interpersonal,interpersonal,interpersonal
semlnars,seminars,semlnars
cmadball,cma,cmadball
flnally,finally,flnally
the,the,the
cma,eac,me
through,through,through
mcas,mcas,mcas
manager,manager,manager
of,of,of
educatlon,education,educatlon
dr,dr,dr
robert,robert,robert
nsf,nsf,nsf
n,in,n
proposlng,proposing,proposlng
an,an,an
experimental,experimental,experlmental
research,research,research
and,and,and
development,development,development
inceni,incen,inceni
tives,tives,tlves
program,program,program
for,for,for
nsf,nsf,nsf
fundlng,funding,fundlng
if,if,if
approved,approved,approved
by,by,by
the,the,the
congress,congress,congress
the,the,the
program,program,program
will,will,will
promote,promote,promote
the,the,the
exchange,exchange,exchange
of,of,of
personnel,personnel,personnel
between,between,between
industry,industry,ndustry
and,and,and
schools,schools,schools
on,on,on
a,a,a
sabbatical,sabbatical,sabbatlcal
or,or,or
internship,internship,nternshp
basis,basis,basls
and,and,and
provlde,provide,provlde
r,r,r
u,d,u
funds,funds,funds
for,for,for
nondefense,nondefense,nonidefense
research,research,research
n,in,n
industry,industry,ndustry
a,a,a
budget,budget,budget
of,of,of
million,million,million
has,has,has
been,been,been
proposed,proposed,proposed
proposed,proposed,proposed
research,research,esearch
program,program,program
upon,purpose,puzpo
script,scriptions,scrlptl
n,from,n
from,interested,from
interested,companies,nterested
companies,is,companles
to,to,to
provide,provide,provlde
information,information,nfomatlon
on,on,on
the,the,the
basic,basic,baslc
merchant,mechanisms,mechanl
s,involved,s
involved,in,involved
n,phosgene,n
phosgene,damage,phosgene
damage,to,damage
to,the,to
the,lungs,the
lungs,this,lungs
the,information,th
information,is,nformatlon
a,a,a
ment,ment,ment
of,of,of
industrial,industrial,dustrlal
exposures,exposures,exposures
to,to,to
phosgene,phosgene,phosgene
represent,representatives,represents
was,of,was
of,interested,of
interested,member,nterested
member,companies,member
companies,the,companles
the,lnaediate,the
lnaedlate,project,lnaedlate
project,is,project
that,that,that
declined,defined,deflned
n,in,n
the,the,he
proposal,proposal,proposal
made,made,made
by,by,by
dr,or,dr
m,m,m
f,f,f
frosolono,frosolono,frosolono
of,of,of
themt,themt,themt
cma,sinai,mm
hospltal,hospital,hospltal
conducted,conducted,conducted
and,under,un
per,contracts,er
contracts,a,contracts
between,between,between
mca,mca,mca
and,and,and
mt,mt,mt
cma,sinai,mm
hospltal,hospital,hospltal
of,of,of
cleveland,cleveland,cleveland
not,not,not
to,to,to
exceed,exceed,excee
and,and,and
by,b,by
between,between,between
mca,mca,mca
and,and,and
dr,dr,dr
frosolono,frosolono,frosolono
for,for,for
consultlng,consulting,consultlng
fees,fees,fees
supervision,supervision,supervlslon
composed,composed,composed
of,of,of
on,one,on
technlcal,technical,technlcal
representative,representative,representatlve
from,from,from
each,each,each
subscribing,subscribing,subscrlblng
company,company,company
plus,plus,plus
an,an,an
diction,diction,diction
of,of,of
the,the,the
safety,safety,afety
and,and,and
fire,fire,fire
protection,protection,protectlon
comnittee,comnittee,comnlttee
funding,funding,fundlng
consnitments,consnitments,consnltments
have,have,hav
been,been,been
made,made,made
by,by,by
thirteen,thirteen,thlrteen
interested,interested,nterested
companies,companies,companles
n,in,n
support,support,support
of,of,of
this,this,thls
research,research,research
u,up,u
to,to,to
per,per,per
company,company,company
funds,funds,funds
are,are,are
to,to,to
be,be,be
collected,collected,collected
n,in,n
advance,advance,advance
of,of,of
commitments,commitments,commltments
d,and,d
disbursements,disbursements,dlsbursements
subject,subject,subject
to,to,to
mca,mca,mca
staff,staff,staff
clearance,clearance,clearance
and,and,and
approval,approval,approval
regulations,stipulations,stlpulatlons
the,the,the
scientific,scientific,sclentlflc
n,information,n
rmation,developed,omatlon
developed,from,developed
from,this,from
this,program,thls
program,is,program
m,to,m
be,be,be
fully,fully,fully
d,dis,d
all,all,all
releases,releases,releases
are,are,are
t,to,t
be,be,be
made,made,made
through,through,through
mca,mca,mca
